_id	admin_level	confirmed	confirmed_numIncrease	confirmed_numIncrease_per_100k	confirmed_per_100k	confirmed_rolling	confirmed_rolling_per_100k	country_name	date	dead	dead_numIncrease	dead_numIncrease_per_100k	dead_per_100k	dead_rolling	dead_rolling_per_100k	location_id	mostRecent	name	recovered	recovered_numIncrease_per_100k	recovered_per_100k	recovered_rolling	recovered_rolling_per_100k	testing_positive	testing_totalTestResults	testing_positivity	source	confirmed_doublingRate	daysSince100Cases	dead_doublingRate	daysSince10Deaths	daysSince50Deaths
"BEL_2020-02-04"	0	1	1	0.008702200769170122	0.008702200769170122	0.25	0.0021755501922925305	"Belgium"	"2020-02-04"	0	0	0	0	0	0	"BEL"	false	"Belgium"	0	0	0	0	0	0	0		"JHU COVID-19 Data Repository"					
"BEL_2020-02-05"	0	1	0	0	0.008702200769170122	0.2	0.0017404401538340243	"Belgium"	"2020-02-05"	0	0	0	0	0	0	"BEL"	false	"Belgium"	0	0	0	0	0	0	0		"JHU COVID-19 Data Repository"					
"BEL_2020-02-06"	0	1	0	0	0.008702200769170122	0.16666666666666666	0.001450366794861687	"Belgium"	"2020-02-06"	0	0	0	0	0	0	"BEL"	false	"Belgium"	0	0	0	0	0	0	0		"JHU COVID-19 Data Repository"					
"BEL_2020-02-07"	0	1	0	0	0.008702200769170122	0.14285714285714285	0.0012431715384528745	"Belgium"	"2020-02-07"	0	0	0	0	0	0	"BEL"	false	"Belgium"	0	0	0	0	0	0	0		"JHU COVID-19 Data Repository"					
"BEL_2020-02-08"	0	1	0	0	0.008702200769170122	0	0	"Belgium"	"2020-02-08"	0	0	0	0	0	0	"BEL"	false	"Belgium"	0	0	0	0	0	0	0		"JHU COVID-19 Data Repository"					
"BEL_2020-02-09"	0	1	0	0	0.008702200769170122	0	0	"Belgium"	"2020-02-09"	0	0	0	0	0	0	"BEL"	false	"Belgium"	0	0	0	0	0	0	0		"JHU COVID-19 Data Repository"					
"BEL_2020-02-10"	0	1	0	0	0.008702200769170122	0	0	"Belgium"	"2020-02-10"	0	0	0	0	0	0	"BEL"	false	"Belgium"	0	0	0	0	0	0	0		"JHU COVID-19 Data Repository"					
"BEL_2020-02-11"	0	1	0	0	0.008702200769170122	0	0	"Belgium"	"2020-02-11"	0	0	0	0	0	0	"BEL"	false	"Belgium"	0	0	0	0	0	0	0		"JHU COVID-19 Data Repository"					
"BEL_2020-02-12"	0	1	0	0	0.008702200769170122	0	0	"Belgium"	"2020-02-12"	0	0	0	0	0	0	"BEL"	false	"Belgium"	0	0	0	0	0	0	0		"JHU COVID-19 Data Repository"					
"BEL_2020-02-13"	0	1	0	0	0.008702200769170122	0	0	"Belgium"	"2020-02-13"	0	0	0	0	0	0	"BEL"	false	"Belgium"	0	0	0	0	0	0	0		"JHU COVID-19 Data Repository"					
