_id	admin_level	confirmed	confirmed_numIncrease	confirmed_rolling	country_name	date	dead	dead_numIncrease	dead_rolling	location_id	mostRecent	name	recovered	recovered_rolling	testing_positive	testing_totalTestResults	testing_positivity	source	confirmed_doublingRate	testing_hospitalizedIncrease	testing_totalTestResultsIncrease	daysSince100Cases	dead_doublingRate	daysSince10Deaths	daysSince50Deaths	testing_hospitalized
"USA_US-NY_2020-03-01"	1	1	1	2.75	"United States of America"	"2020-03-01"	0	0	0	"USA_US-NY"	false	"New York"	0	0	0	0		"The New York Times, The COVID Tracking Project"								
"USA_US-NY_2020-03-02"	1	1	0	4.4	"United States of America"	"2020-03-02"	0	0	0	"USA_US-NY"	false	"New York"	0	0	0	0		"The New York Times, The COVID Tracking Project"								
"USA_US-NY_2020-03-03"	1	2	1	7.333333333333333	"United States of America"	"2020-03-03"	0	0	0	"USA_US-NY"	false	"New York"	0	0	0	0		"The New York Times, The COVID Tracking Project"	1.998							
"USA_US-NY_2020-03-04"	1	11	9	12.714285714285714	"United States of America"	"2020-03-04"	0	0	0	"USA_US-NY"	false	"New York"	0	0	0	0		"The New York Times, The COVID Tracking Project"	0.879							
"USA_US-NY_2020-03-05"	1	22	11	15	"United States of America"	"2020-03-05"	0	0	0	"USA_US-NY"	false	"New York"	0	0	22	98		"The New York Times, The COVID Tracking Project"	0.808	0	44					
"USA_US-NY_2020-03-06"	1	44	22	20.142857142857142	"United States of America"	"2020-03-06"	0	0	0	"USA_US-NY"	false	"New York"	0	0	33	125		"The New York Times, The COVID Tracking Project"	0.695	0	27					
"USA_US-NY_2020-03-07"	1	89	45	24.428571428571427	"United States of America"	"2020-03-07"	0	0	0	"USA_US-NY"	false	"New York"	0	0	76	168		"The New York Times, The COVID Tracking Project"	0.772	0	43					
"USA_US-NY_2020-03-08"	1	106	17	29.428571428571427	"United States of America"	"2020-03-08"	0	0	0	"USA_US-NY"	false	"New York"	0	0	105	197		"The New York Times, The COVID Tracking Project"	1.169	0	29	0.353				
"USA_US-NY_2020-03-09"	1	142	36	43.42857142857143	"United States of America"	"2020-03-09"	0	0	0	"USA_US-NY"	false	"New York"	0	0	142	234		"The New York Times, The COVID Tracking Project"	1.504	0	37	1.353				
"USA_US-NY_2020-03-10"	1	173	31	53.857142857142854	"United States of America"	"2020-03-10"	0	0	0	"USA_US-NY"	false	"New York"	0	0	173	265		"The New York Times, The COVID Tracking Project"	2.159	0	31	2.353				
"USA_US-NY_2020-03-11"	1	217	44	74.42857142857143	"United States of America"	"2020-03-11"	0	0	0.2857142857142857	"USA_US-NY"	false	"New York"	0	0	216	308		"The New York Times, The COVID Tracking Project"	3.054	0	43	3.353				
"USA_US-NY_2020-03-12"	1	326	109	89.42857142857143	"United States of America"	"2020-03-12"	0	0	0.8571428571428571	"USA_US-NY"	false	"New York"	0	0	216	308		"The New York Times, The COVID Tracking Project"	2.596	0	0	4.353				
"USA_US-NY_2020-03-13"	1	421	95	115.42857142857143	"United States of America"	"2020-03-13"	0	0	1.4285714285714286	"USA_US-NY"	false	"New York"	0	0	421	3200		"The New York Times, The COVID Tracking Project"	2.467	0	2892	5.353				
"USA_US-NY_2020-03-14"	1	610	189	171.71428571428572	"United States of America"	"2020-03-14"	2	2	2.5714285714285716	"USA_US-NY"	false	"New York"	0	0	524	3303		"The New York Times, The COVID Tracking Project"	2.18	0	103	6.353				
"USA_US-NY_2020-03-15"	1	732	122	310	"United States of America"	"2020-03-15"	6	4	4.571428571428571	"USA_US-NY"	false	"New York"	0	0	729	5272		"The New York Times, The COVID Tracking Project"	2.265	0	1969	7.353	0.631			
"USA_US-NY_2020-03-16"	1	950	218	547.8571428571429	"United States of America"	"2020-03-16"	10	4	5.571428571428571	"USA_US-NY"	false	"New York"	0	0	950	5493		"The New York Times, The COVID Tracking Project"	2.577	0	221	8.353	0.861	0		
"USA_US-NY_2020-03-17"	1	1375	425	956	"United States of America"	"2020-03-17"	18	8	9.714285714285714	"USA_US-NY"	false	"New York"	0	0	1700	7206		"The New York Times, The COVID Tracking Project"	2.467	0	1713	9.353	0.976	1		
"USA_US-NY_2020-03-18"	1	2387	1012	1394.4285714285713	"United States of America"	"2020-03-18"	32	14	13.285714285714286	"USA_US-NY"	false	"New York"	0	0	2382	14597		"The New York Times, The COVID Tracking Project"	2.063	0	7391	10.353	1.044	2		
"USA_US-NY_2020-03-19"	1	4161	1774	2065.1428571428573	"United States of America"	"2020-03-19"	39	7	19.428571428571427	"USA_US-NY"	false	"New York"	0	0	4152	22284		"The New York Times, The COVID Tracking Project"	1.575	0	7687	11.353	1.412	3		
"USA_US-NY_2020-03-20"	1	7113	2952	2849.8571428571427	"United States of America"	"2020-03-20"	68	29	24.714285714285715	"USA_US-NY"	false	"New York"	0	0	7102	32427		"The New York Times, The COVID Tracking Project"	1.351	0	10143	12.353	1.504	4	0.621	
"USA_US-NY_2020-03-21"	1	10371	3258	3475.5714285714284	"United States of America"	"2020-03-21"	95	27	35.142857142857146	"USA_US-NY"	false	"New York"	0	0	10356	45437		"The New York Times, The COVID Tracking Project"	1.351	1531	13010	13.353	1.699	5	1.621	1531
"USA_US-NY_2020-03-22"	1	15188	4817	4390	"United States of America"	"2020-03-22"	142	47	49.857142857142854	"USA_US-NY"	false	"New York"	0	0	15168	61401		"The New York Times, The COVID Tracking Project"	1.504	823	15964	14.353	1.791	6	2.621	2354
"USA_US-NY_2020-03-23"	1	20899	5711	4985.285714285715	"United States of America"	"2020-03-23"	183	41	66.14285714285714	"USA_US-NY"	false	"New York"	0	0	20875	78289		"The New York Times, The COVID Tracking Project"	1.737	771	16888	15.353	1.81	7	3.621	3125
"USA_US-NY_2020-03-24"	1	25704	4805	5376.142857142857	"United States of America"	"2020-03-24"	264	81	82.42857142857143	"USA_US-NY"	false	"New York"	0	0	25665	91270		"The New York Times, The COVID Tracking Project"	2.12	916	12981	16.353	2.057	8	4.621	4041
"USA_US-NY_2020-03-25"	1	33117	7413	6163.714285714285	"United States of America"	"2020-03-25"	381	117	120	"USA_US-NY"	false	"New York"	0	0	30811	103479		"The New York Times, The COVID Tracking Project"	2.432	1085	12209	17.353	2.039	9	5.621	5126
"USA_US-NY_2020-03-26"	1	39058	5941	6370.714285714285	"United States of America"	"2020-03-26"	502	121	148.28571428571428	"USA_US-NY"	false	"New York"	0	0	37258	122104		"The New York Times, The COVID Tracking Project"	2.95	1795	18625	18.353	2.126	10	6.621	6921
"USA_US-NY_2020-03-27"	1	44746	5688	6657.857142857143	"United States of America"	"2020-03-27"	645	143	189.85714285714286	"USA_US-NY"	false	"New York"	0	0	44635	145753		"The New York Times, The COVID Tracking Project"	3.573	1811	23649	19.353	2.194	11	7.621	8732
"USA_US-NY_2020-03-28"	1	53517	8771	7215.285714285715	"United States of America"	"2020-03-28"	935	290	237.85714285714286	"USA_US-NY"	false	"New York"	0	0	52318	155934		"The New York Times, The COVID Tracking Project"	3.916	1722	10181	20.353	2.265	12	8.621	10454
"USA_US-NY_2020-03-29"	1	59783	6266	7321	"United States of America"	"2020-03-29"	1180	245	290.57142857142856	"USA_US-NY"	false	"New York"	0	0	59513	172360		"The New York Times, The COVID Tracking Project"	4.621	2241	16426	21.353	2.407	13	9.621	12695
"USA_US-NY_2020-03-30"	1	67504	7721	7757.428571428572	"United States of America"	"2020-03-30"	1512	332	351.57142857142856	"USA_US-NY"	false	"New York"	0	0	66497	186468		"The New York Times, The COVID Tracking Project"	5.023	1883	14108	22.353	2.467	14	10.621	14578
"USA_US-NY_2020-03-31"	1	76211	8707	8420.42857142857	"United States of America"	"2020-03-31"	1929	417	438.7142857142857	"USA_US-NY"	false	"New York"	0	0	75795	205186		"The New York Times, The COVID Tracking Project"	5.332	2507	18718	23.353	2.596	15	11.621	17085
"USA_US-NY_2020-04-01"	1	84364	8153	8920.857142857143	"United States of America"	"2020-04-01"	2415	486	514.2857142857143	"USA_US-NY"	false	"New York"	0	0	83712	220880	0.3789931184353495	"The New York Times, The COVID Tracking Project"	6.027	2844	15694	24.353	2.9	16	12.621	19929
"USA_US-NY_2020-04-02"	1	93360	8996	9186	"United States of America"	"2020-04-02"	2963	548	593.5714285714286	"USA_US-NY"	false	"New York"	0	0	92381	238965	0.3865879940577072	"The New York Times, The COVID Tracking Project"	6.245	2857	18085	25.353	3.001	17	13.621	22786
"USA_US-NY_2020-04-03"	1	103689	10329	9412.142857142857	"United States of America"	"2020-04-03"	3716	753	662.4285714285714	"USA_US-NY"	false	"New York"	0	0	102863	260520	0.39483724857976354	"The New York Times, The COVID Tracking Project"	6.539	3424	21555	26.353	3.108	18	14.621	26210
"USA_US-NY_2020-04-04"	1	115963	12274	9356	"United States of America"	"2020-04-04"	4535	819	750.8571428571429	"USA_US-NY"	false	"New York"	0	0	113704	283621	0.400901202661298	"The New York Times, The COVID Tracking Project"	6.601	3261	23101	27.353	3.239	19	15.621	29471
"USA_US-NY_2020-04-05"	1	124085	8122	9558.142857142857	"United States of America"	"2020-04-05"	5335	800	817.5714285714286	"USA_US-NY"	false	"New York"	0	0	122031	302280	0.40370186581976975	"The New York Times, The COVID Tracking Project"	7.001	2822	18659	28.353	3.448	20	16.621	32293
"USA_US-NY_2020-04-06"	1	133389	9304	9810.857142857143	"United States of America"	"2020-04-06"	6149	814	886.1428571428571	"USA_US-NY"	false	"New York"	0	0	130689	320811	0.4073706948951252	"The New York Times, The COVID Tracking Project"	7.788	2084	18531	29.353	3.809	21	17.621	34377
"USA_US-NY_2020-04-07"	1	141703	8314	9877.285714285714	"United States of America"	"2020-04-07"	7185	1036	920.8571428571429	"USA_US-NY"	false	"New York"	0	0	138863	340058	0.4083509283710426	"The New York Times, The COVID Tracking Project"	9.12	2555	19247	30.353	4.279	22	18.621	36932
"USA_US-NY_2020-04-08"	1	151271	9568	9575.285714285714	"United States of America"	"2020-04-08"	8138	953	946.2857142857143	"USA_US-NY"	false	"New York"	0	0	149316	365153	0.4089135239201102	"The New York Times, The COVID Tracking Project"	10.502	3050	25095	31.353	4.715	23	19.621	39982
"USA_US-NY_2020-04-09"	1	162036	10765	9620	"United States of America"	"2020-04-09"	9166	1028	968.7142857142857	"USA_US-NY"	false	"New York"	0	0	159937	391549	0.40847250280296976	"The New York Times, The COVID Tracking Project"	10.502	2870	26396	32.353	5.097	24	20.621	42852
"USA_US-NY_2020-04-10"	1	172830	10794	9226.285714285714	"United States of America"	"2020-04-10"	10162	996	978.4285714285714	"USA_US-NY"	false	"New York"	0	0	170512	417885	0.4080357036026658	"The New York Times, The COVID Tracking Project"	10.664	2916	26336	33.353	5.545	25	21.621	45768
