_id	admin_level	confirmed	confirmed_numIncrease	confirmed_rolling	country_name	date	dead	dead_numIncrease	dead_rolling	location_id	mostRecent	name	recovered	recovered_rolling	testing_positive	testing_totalTestResults	testing_positivity	source	confirmed_doublingRate	daysSince100Cases	dead_doublingRate	daysSince10Deaths	daysSince50Deaths
"KOR_2020-01-22"	0	1	1	0.5	"South Korea"	"2020-01-22"	0	0	0	"KOR"	false	"South Korea"	0	0	0	0		"JHU COVID-19 Data Repository"					
"KOR_2020-01-23"	0	1	0	0.6	"South Korea"	"2020-01-23"	0	0	0	"KOR"	false	"South Korea"	0	0	0	0		"JHU COVID-19 Data Repository"					
"KOR_2020-01-24"	0	2	1	0.6666666666666666	"South Korea"	"2020-01-24"	0	0	0	"KOR"	false	"South Korea"	0	0	0	0		"JHU COVID-19 Data Repository"	1.998				
"KOR_2020-01-25"	0	2	0	0.5714285714285714	"South Korea"	"2020-01-25"	0	0	0	"KOR"	false	"South Korea"	0	0	0	0		"JHU COVID-19 Data Repository"	2.502				
"KOR_2020-01-26"	0	3	1	0.42857142857142855	"South Korea"	"2020-01-26"	0	0	0	"KOR"	false	"South Korea"	0	0	0	0		"JHU COVID-19 Data Repository"	2.398				
"KOR_2020-01-27"	0	4	1	0.42857142857142855	"South Korea"	"2020-01-27"	0	0	0	"KOR"	false	"South Korea"	0	0	0	0		"JHU COVID-19 Data Repository"	2.18				
"KOR_2020-01-28"	0	4	0	1.2857142857142858	"South Korea"	"2020-01-28"	0	0	0	"KOR"	false	"South Korea"	0	0	0	0		"JHU COVID-19 Data Repository"	3.332				
"KOR_2020-01-29"	0	4	0	1.4285714285714286	"South Korea"	"2020-01-29"	0	0	0	"KOR"	false	"South Korea"	0	0	0	0		"JHU COVID-19 Data Repository"	4.151				
"KOR_2020-01-30"	0	4	0	1.7142857142857142	"South Korea"	"2020-01-30"	0	0	0	"KOR"	false	"South Korea"	0	0	0	0		"JHU COVID-19 Data Repository"	11.951				
"KOR_2020-01-31"	0	11	7	1.5714285714285714	"South Korea"	"2020-01-31"	0	0	0	"KOR"	false	"South Korea"	0	0	0	0		"JHU COVID-19 Data Repository"	3.431				
"KOR_2020-02-01"	0	12	1	1.7142857142857142	"South Korea"	"2020-02-01"	0	0	0	"KOR"	false	"South Korea"	0	0	0	0		"JHU COVID-19 Data Repository"	2.159				
